Threads
thread	group	parent	class	method
--------------------------------------------------------------
0x80a4b80	Finalizer	system	<unknown>	
0x80a3e38	Reference Handler	system	<unknown>	
0x8246ea8	Signal Dispatcher	system	<unknown>	
0x8244db0	jmp-gtk	system	<unknown>	



Classdump
class_name	#instaces	max #instances	size	#GC	tenure
java.util.jar.Attributes$Name	boolean isAlpha (char)	0.001371000	443	0.000000000	0	0
java.net.URLClassLoader	java.lang.Class defineClass (java.lang.String, sun.misc.Resource)	0.001357000	23	0.249040000	23	736
java.net.URL	void <init> (java.lang.String, java.lang.String, int, java.lang.String, java.net.URLStreamHandler)	0.001341000	60	0.009398000	60	1440
java.lang.String	boolean endsWith (java.lang.String)	0.001340000	195	0.000670000	0	0
java.nio.HeapCharBuffer	void <init> (char[], int, int)	0.001307000	195	0.006116000	0	0
java.net.URLClassLoader	boolean isSealed (java.lang.String, java.util.jar.Manifest)	0.001297000	19	0.002741000	0	0
java.lang.String	java.lang.String toLowerCase ()	0.001260000	121	0.005812000	0	0
java.util.zip.InflaterInputStream	void <init> (java.io.InputStream, java.util.zip.Inflater, int)	0.001254000	71	0.000714000	213	151824
java.lang.String	int indexOf (java.lang.String, int)	0.001253000	58	0.000238000	0	0
java.util.regex.Pattern	void compile ()	0.001244000	1	0.015938000	6	784
java.lang.ThreadLocal$ThreadLocalMap	java.lang.Object access$000 (java.lang.ThreadLocal$ThreadLocalMap, java.lang.ThreadLocal)	0.001217000	179	0.000754000	0	0
sun.misc.URLClassPath$3	java.lang.Object run ()	0.001214000	61	0.311497000	61	1936
java.lang.System	java.lang.SecurityManager getSecurityManager ()	0.001212000	394	0.000000000	0	0
java.lang.String	void <init> (int, int, char[])	0.001212000	370	0.000000000	0	0
java.nio.HeapByteBuffer	void <init> (byte[], int, int)	0.001195000	178	0.005657000	0	0
java.lang.StringCoding	int access$000 (int, float)	0.001193000	178	0.000613000	0	0
java.io.UnixFileSystem	int getBooleanAttributes0 (java.io.File)	0.001190000	64	0.025372000	0	0
java.util.AbstractList	void <init> ()	0.001190000	175	0.000547000	0	0
java.util.ArrayList	boolean add (java.lang.Object)	0.001186000	170	0.000595000	0	0
java.util.ArrayList	void <init> (int)	0.001178000	127	0.001254000	127	7112
java.lang.String	byte[] getBytes (java.lang.String)	0.001165000	162	0.066466000	0	0
java.nio.Bits	java.nio.ByteOrder byteOrder ()	0.001159000	373	0.000000000	0	0
java.nio.charset.CharsetEncoder	java.nio.charset.CoderResult flush (java.nio.ByteBuffer)	0.001151000	162	0.000502000	0	0
java.nio.ByteBuffer	java.nio.ByteBuffer wrap (byte[])	0.001136000	162	0.007765000	0	0
java.lang.String	int indexOf (int, int)	0.001134000	333	0.000000000	0	0
java.lang.String	java.lang.String replace (char, char)	0.001134000	91	0.000269000	160	7816
java.lang.StringBuffer	java.lang.String toString ()	0.001127000	94	0.001215000	94	2256
java.lang.StringCoding	byte[] access$400 (byte[], int)	0.001081000	162	0.002166000	0	0
java.util.zip.ZipFile$ZipFileInputStream	void <init> (java.util.zip.ZipFile, long)	0.001070000	73	0.001884000	0	0
java.util.zip.Inflater	int inflate (byte[], int, int)	0.001062000	148	0.006094000	0	0
sun.misc.FileURLMapper	boolean exists ()	0.001054000	60	0.132707000	60	960
java.lang.ClassLoader	java.lang.Class loadClass (java.lang.String, boolean)	0.001051000	74	0.875213000	0	0
sun.reflect.ByteVectorImpl	int getLength ()	0.001031000	334	0.000000000	0	0
java.util.zip.ZipFile	java.nio.MappedByteBuffer newMappedByteBuffer (int, long, java.lang.Runnable)	0.001028000	46	0.062720000	138	2576
java.lang.ClassLoader	java.lang.Class findLoadedClass (java.lang.String)	0.001020000	74	0.002645000	0	0
sun.reflect.MethodAccessorGenerator	void emitInvoke ()	0.001011000	1	0.017566000	15	272
java.security.Provider	java.lang.Object implPut (java.lang.Object, java.lang.Object)	0.001006000	67	0.008296000	1	48
java.net.URLClassLoader$1	java.lang.Object run ()	0.000980000	46	0.808629000	23	736
java.lang.ref.Finalizer	void <init> (java.lang.Object)	0.000960000	91	0.001236000	0	0
java.io.UnixFileSystem	int getBooleanAttributes (java.io.File)	0.000955000	64	0.030811000	0	0
org.openscience.cdk.ChemObject	java.util.List lazyChemObjectListeners ()	0.000951000	100	0.002838000	104	2560
java.lang.String	boolean regionMatches (boolean, int, java.lang.String, int, int)	0.000950000	52	0.005004000	0	0
java.util.Vector	int size ()	0.000939000	296	0.000000000	0	0
sun.misc.URLClassPath	sun.misc.URLClassPath$Loader getLoader (java.net.URL)	0.000917000	61	0.314170000	61	976
